,Date,PnL,Capital
0,2017-03-07,70942.28,250000000
1,2017-03-08,-442293.17000000004,250000000
2,2017-03-09,-217993.05,250000000
3,2017-03-10,-11874.100000000006,250000000
4,2017-03-13,-287963.75,250000000
5,2017-03-14,-52252.46999999999,250000000
6,2017-03-15,-112837.56999999995,250000000
7,2017-03-16,277965.51,250000000
8,2017-03-17,138443.41999999998,250000000
9,2017-03-20,-2795559.6500000004,250000000
10,2017-03-21,-781872.0100000002,250000000
11,2017-03-22,146052.87,250000000
12,2017-03-23,299746.98,250000000
13,2017-03-24,-307910.01,250000000
14,2017-03-27,380086.06000000006,250000000
15,2017-03-28,135925.33000000007,250000000
16,2017-03-29,202520.1500000002,250000000
17,2017-03-30,-175369.19,250000000
18,2017-03-31,-210920.31,250000000
19,2017-04-03,89927.71999999997,250000000
20,2017-04-04,438725.65,250000000
21,2017-04-05,13194.300000000017,250000000
22,2017-04-06,307702.39999999997,250000000
23,2017-04-07,-297796.6599999983,250000000
24,2017-04-10,218961.17,250000000
25,2017-04-11,-670561.88,250000000
26,2017-04-12,-46121.55999999988,250000000
27,2017-04-13,144410.20000000007,250000000
28,2017-04-17,902293.6699999998,250000000
29,2017-04-18,636666.8599999999,250000000
30,2017-04-19,542604.2300000001,250000000
31,2017-04-20,536357.209999999,250000000
32,2017-04-21,-11112.499999999969,250000000
33,2017-04-24,895221.37,250000000
34,2017-04-25,1573455.0399999977,250000000
35,2017-04-26,-633180.209999998,250000000
36,2017-04-27,283325.75,250000000
37,2017-04-28,-1020772.7100000003,250000000
38,2017-05-01,520044.8300000002,250000000
39,2017-05-02,421776.4900000001,250000000
40,2017-05-03,-950305.9100000001,250000000
41,2017-05-04,-2083294.2000000002,250000000
42,2017-05-05,-23135.979999999996,250000000
43,2017-05-08,474025.7200000001,250000000
44,2017-05-09,-788501.6200000001,250000000
45,2017-05-10,-1623679.9100000001,250000000
46,2017-05-11,-1002030.67,250000000
47,2017-05-12,357531.43999999977,250000000
48,2017-05-15,492961.07000000007,250000000
49,2017-05-16,-89445.71000000005,250000000
50,2017-05-17,-465405.2399999981,250000000
51,2017-05-18,33495.93000000022,250000000
52,2017-05-19,-24573.329999999958,250000000
53,2017-05-22,-59993.33000000098,250000000
54,2017-05-23,-1455410.3699999996,250000000
55,2017-05-24,-484655.38999999984,250000000
56,2017-05-25,-863439.42,250000000
57,2017-05-26,-889194.9900000021,250000000
58,2017-05-30,410086.83999999973,250000000
59,2017-05-31,3016156.9799999795,250000000
60,2017-06-01,-1313811.44,250000000
61,2017-06-02,-898410.7699999999,250000000
62,2017-06-05,387444.3,250000000
63,2017-06-06,-416825.78,250000000
64,2017-06-07,-750103.1600000006,250000000
65,2017-06-08,348567.5900000007,250000000
66,2017-06-09,38511.650000002,250000000
67,2017-06-12,1731119.73,250000000
68,2017-06-13,193965.62,250000000
69,2017-06-14,3184235.59,250000000
70,2017-06-15,-214331.81999999995,250000000
71,2017-06-16,-31243.749999998137,250000000
72,2017-06-19,1390674.5100000002,250000000
73,2017-06-20,2183274.79,250000000
74,2017-06-21,-578910.6299999988,250000000
75,2017-06-22,2317994.34,250000000
76,2017-06-23,1855259.58,250000000
77,2017-06-26,1020371.19,250000000
78,2017-06-27,151975.05000000005,250000000
79,2017-06-28,52756.72999999974,250000000
80,2017-06-29,-3819254.110000002,250000000
81,2017-06-30,1604114.61,250000000
82,2017-07-03,-2410986.95,250000000
83,2017-07-05,1038284.3600000001,250000000
84,2017-07-06,1317071.5399999998,250000000
85,2017-07-07,-421027.47000000003,250000000
86,2017-07-10,1995740.7299999977,250000000
87,2017-07-11,213303.71000000002,250000000
88,2017-07-12,789345.94,250000000
89,2017-07-13,1433480.7000000004,250000000
90,2017-07-14,232047.9500000001,250000000
91,2017-07-17,-197695.98999999996,250000000
92,2017-07-18,-341824.76999999996,250000000
93,2017-07-19,124902.03999999899,250000000
94,2017-07-20,240374.14000000202,250000000
95,2017-07-21,1739105.56,250000000
96,2017-07-24,347150.79999999993,250000000
97,2017-07-25,439866.0500000001,250000000
98,2017-07-26,957464.59,250000000
99,2017-07-27,2140199.8200000003,250000000
100,2017-07-28,-805243.1800000003,250000000
101,2017-07-31,2083087.2999999998,250000000
102,2017-08-01,1506708.6099999999,250000000
103,2017-08-02,-1178639.120000002,250000000
104,2017-08-03,-2765281.94,250000000
105,2017-08-04,-1070336.8699999992,250000000
106,2017-08-07,773136.99,250000000
107,2017-08-08,-8050854.70999999,250000000
108,2017-08-09,-11902.600000000026,250000000
109,2017-08-10,520472.00999999867,250000000
110,2017-08-11,3048528.330000002,250000000
111,2017-08-14,14536.909999999945,250000000
112,2017-08-15,131824.55999999997,250000000
113,2017-08-16,105940.80999999937,250000000
114,2017-08-17,899787.3799999971,250000000
115,2017-08-18,-235347.9199999978,250000000
116,2017-08-21,-1544821.9699999997,250000000
117,2017-08-22,409192.26,250000000
118,2017-08-23,359882.43000000034,250000000
119,2017-08-24,2800929.1199999973,250000000
120,2017-08-25,1676478.6399999978,250000000
121,2017-08-28,-2312251.139999998,250000000
122,2017-08-29,334815.2499999988,250000000
123,2017-08-30,-163733.60999999972,250000000
124,2017-08-31,579876.8399999986,250000000
125,2017-09-01,-81995.22,250000000
126,2017-09-05,1262637.6899999778,250000000
127,2017-09-06,-669718.5,250000000
128,2017-09-07,3696331.2399999998,250000000
129,2017-09-08,952080.630000003,250000000
130,2017-09-11,1344415.92,250000000
131,2017-09-12,-1331200.1800000002,250000000
132,2017-09-13,253684.57999999993,250000000
133,2017-09-14,-1191985.4999999986,250000000
134,2017-09-15,1181646.1700000002,250000000
135,2017-09-18,594288.9900000001,250000000
136,2017-09-19,1397132.84,250000000
137,2017-09-20,-387937.51000000007,250000000
138,2017-09-21,-492779.40999999986,250000000
139,2017-09-22,494617.72,250000000
140,2017-09-25,-7115.089999999915,250000000
141,2017-09-26,788523.3000000002,250000000
142,2017-09-27,616725.569999999,250000000
143,2017-09-28,410965.0700000009,250000000
144,2017-09-29,1220788.6099999975,250000000
145,2017-10-02,1314960.85,250000000
146,2017-10-03,-397098.70999999996,250000000
147,2017-10-04,2362674.5600000024,250000000
148,2017-10-05,-673564.7700000021,250000000
149,2017-10-06,461973.3500000019,250000000
150,2017-10-09,305753.13999999943,250000000
151,2017-10-10,858791.2199999997,250000000
152,2017-10-11,-423253.2100000002,250000000
153,2017-10-12,-76731.95000000001,250000000
154,2017-10-13,165509.31999999972,250000000
155,2017-10-16,-1483680.5900000003,250000000
156,2017-10-17,1529240.1100000006,250000000
157,2017-10-18,-458790.03000000014,250000000
158,2017-10-19,-522203.53000000026,300000000
159,2017-10-20,-917513.7699999998,300000000
160,2017-10-23,1258702.2199999997,300000000
161,2017-10-24,969250.4599999979,300000000
162,2017-10-25,-758373.0600000003,300000000
163,2017-10-26,-1442239.1599999995,300000000
164,2017-10-27,-491545.3400000017,300000000
165,2017-10-30,31621.899999999892,300000000
166,2017-10-31,-1545622.3400000003,300000000
167,2017-11-01,254257.39000000036,300000000
168,2017-11-02,-6233795.97,300000000
169,2017-11-03,2576024.2800000003,300000000
170,2017-11-06,-1050692.790000001,300000000
171,2017-11-07,2549510.049999999,300000000
172,2017-11-08,-3977450.9999999995,300000000
173,2017-11-09,2091867.319999998,300000000
174,2017-11-10,1368361.2299999988,300000000
175,2017-11-13,-302953.59999999695,300000000
176,2017-11-14,-1292058.8999999978,300000000
177,2017-11-15,1320759.0,300000000
178,2017-11-16,1060313.4400000013,300000000
179,2017-11-17,1395533.1900000004,300000000
180,2017-11-20,-1198582.75,300000000
181,2017-11-21,-2037228.8999999983,300000000
182,2017-11-22,1642683.5,300000000
183,2017-11-24,-1302173.4499999997,300000000
184,2017-11-27,1047231.8699999987,300000000
185,2017-11-28,243844.39999999997,300000000
186,2017-11-29,-1030353.2799999992,300000000
187,2017-11-30,-580313.4399999989,300000000
188,2017-12-01,-4071470.1000000006,300000000
189,2017-12-04,2442444.5399999986,300000000
190,2017-12-05,-229498.26000000225,300000000
191,2017-12-06,3549500.81,300000000
192,2017-12-07,-3690100.6099999994,300000000
193,2017-12-08,-212181.55000000054,300000000
194,2017-12-11,-209454.6400000002,300000000
195,2017-12-12,-24797.059999999696,300000000
196,2017-12-13,871041.7499999994,300000000
197,2017-12-14,-2654881.89,300000000
198,2017-12-15,1279620.359999997,300000000
199,2017-12-18,-2015992.63,300000000
200,2017-12-19,873908.88,300000000
201,2017-12-20,675547.9100000004,300000000
202,2017-12-21,1001932.35,300000000
203,2017-12-22,402457.39000000013,300000000
204,2017-12-26,-2286894.279999999,300000000
205,2017-12-27,292765.98,300000000
206,2017-12-28,-564402.2800000003,300000000
207,2017-12-29,1087575.2199999995,300000000
208,2018-01-02,6183332.040000001,300000000
209,2018-01-03,257944.8399999993,300000000
210,2018-01-04,-294203.86000000086,300000000
211,2018-01-05,572243.36,300000000
212,2018-01-08,911462.3200000023,300000000
213,2018-01-09,-1622099.8600000008,300000000
214,2018-01-10,-304155.5399999992,300000000
215,2018-01-11,333643.32,300000000
216,2018-01-12,-1184761.04,300000000
217,2018-01-16,271227.9899999971,300000000
218,2018-01-17,-212919.21000000043,300000000
219,2018-01-18,-1670419.3299999982,300000000
220,2018-01-19,1342832.6399999994,300000000
221,2018-01-22,-1292232.2199999953,300000000
222,2018-01-23,-3345040.5499999975,300000000
223,2018-01-24,-2067084.8599999999,300000000
224,2018-01-25,-752331.1600000001,300000000
225,2018-01-26,19895.02999999871,300000000
226,2018-01-29,-4303000.2,300000000
227,2018-01-30,544663.9400000009,300000000
228,2018-01-31,-662392.1900000005,300000000
229,2018-02-01,-1010243.3799999966,300000000
230,2018-02-02,-977573.98,300000000
231,2018-02-05,-603601.2400000007,300000000
232,2018-02-06,-903526.8799999983,300000000
233,2018-02-07,176865.62000000034,300000000
234,2018-02-08,-2244451.1799999992,300000000
235,2018-02-09,2344389.0199999996,300000000
236,2018-02-12,1456655.6599999992,300000000
237,2018-02-13,-1830980.589999998,300000000
238,2018-02-14,-3376491.799999997,300000000
239,2018-02-15,1496144.6199999994,300000000
240,2018-02-16,-172550.53999999992,300000000
241,2018-02-20,-553154.479999998,300000000
242,2018-02-21,-1608177.5700000017,300000000
243,2018-02-22,2645480.1599999988,300000000
244,2018-02-23,2783694.1199999996,300000000
245,2018-02-26,725596.3900000002,300000000
246,2018-02-27,150889.28999999803,300000000
247,2018-02-28,-1031739.4899999998,300000000
248,2018-03-01,-2999875.3000000017,300000000
249,2018-03-02,-3664032.5899999985,300000000
250,2018-03-05,-573496.6800000016,300000000
251,2018-03-06,-768712.6400000021,300000000
252,2018-03-07,-551155.0099999991,300000000
253,2018-03-08,1348963.4700000004,300000000
254,2018-03-09,-164384.45000000074,300000000
255,2018-03-12,1612850.7199999997,300000000
256,2018-03-13,3557780.689999999,300000000
257,2018-03-14,-123335.00000000019,300000000
258,2018-03-15,-1091302.6400000006,300000000
259,2018-03-16,1697968.2699999998,300000000
260,2018-03-19,-757085.6499999989,300000000
261,2018-03-20,-1020497.6199999999,300000000
262,2018-03-21,1105649.2799999984,300000000
263,2018-03-22,-294756.0200000003,300000000
264,2018-03-23,1102455.68,300000000
