window1Start,window1End,window1PnL,window1Capital,window1Return,window1NumStrats,window1topN,window1topNPnL,window1topNConc,window2Start,window2End,window2PnL,window2Capital,window2Return,window2NumStrats,window2topN,window2topNPnL,window2topNConc
2017-03-21,2017-04-20,2504623.180000001,250000000.0,0.010018492720000004,58.0,5.0,2358600.149999999,0.9416986031407718,2017-04-21,2017-05-20,-3663600.3499999987,250000000.0,-0.014654401399999994,71.0,5.0,-7269867.619999999,1.9843506183746276
2017-05-15,2017-06-14,2125276.369999983,250000000.0,0.008501105479999932,78.0,5.0,3828044.219999981,1.8011983166217633,2017-06-15,2017-07-14,10119940.999999998,250000000.0,0.040479763999999994,89.0,5.0,7709867.500000002,0.7618490562346167
2017-06-15,2017-07-14,10119940.999999998,250000000.0,0.040479763999999994,89.0,5.0,7709867.500000002,0.7618490562346167,2017-07-15,2017-08-14,-486246.0299999891,250000000.0,-0.0019449841199999562,88.0,5.0,-9462198.229999991,19.459692514096627
2017-07-18,2017-08-17,849002.7100000074,250000000.0,0.0033960108400000297,89.0,5.0,6788991.729999998,7.9964311656907885,2017-08-18,2017-09-17,7320916.72999998,250000000.0,0.02928366691999992,86.0,5.0,11314285.84999998,1.5454739163520044
2017-08-18,2017-09-17,7320916.72999998,250000000.0,0.02928366691999992,86.0,5.0,11314285.84999998,1.5454739163520044,2017-09-18,2017-10-17,8579783.41,250000000.0,0.03431913364,95.0,5.0,9281156.389999997,1.0817471661560274
2017-09-18,2017-10-17,8579783.41,250000000.0,0.03431913364,95.0,5.0,9281156.389999997,1.0817471661560274,2017-10-18,2017-11-17,-4117039.0100000016,297826086.95652175,-0.013823634632116793,105.0,5.0,-15133162.369999997,3.675739368328208
2017-11-07,2017-12-06,2689965.6700000027,300000000.0,0.008966552233333343,105.0,5.0,10101588.39,3.7552852449600187,2017-12-07,2018-01-06,1545461.2799999975,300000000.0,0.005151537599999992,101.0,5.0,7661478.0299999975,4.9574053579653645
2017-12-07,2018-01-06,1545461.2799999975,300000000.0,0.005151537599999992,101.0,5.0,7661478.0299999975,4.9574053579653645,2018-01-07,2018-02-06,-17487656.39999999,300000000.0,-0.05829218799999997,105.0,5.0,-13593243.940000001,0.7773050675904182
2018-02-15,2018-03-14,2110785.7099999934,300000000.0,0.007035952366666645,111.0,5.0,7163958.9899999965,3.3939773971655414,2018-03-15,2018-04-14,5800891.399999997,300000000.0,0.019336304666666655,113.0,5.0,11317630.339999996,1.9510157249280693
2018-03-15,2018-04-14,5800891.399999997,300000000.0,0.019336304666666655,113.0,5.0,11317630.339999996,1.9510157249280693,2018-04-15,2018-05-14,7310392.6299999785,300000000.0,0.02436797543333326,112.0,5.0,9515657.18999999,1.3016615757339998
2018-04-15,2018-05-14,7310392.6299999785,300000000.0,0.02436797543333326,112.0,5.0,9515657.18999999,1.3016615757339998,2018-05-15,2018-06-14,-16998286.070000004,300000000.0,-0.05666095356666668,102.0,5.0,-11698063.279999997,0.6881907523986032
2018-06-20,2018-07-19,3866401.5200000014,232142857.14285713,0.016655268086153852,100.0,5.0,5162691.84,1.335270486858281,2018-07-20,2018-08-19,-13829106.369999997,225000000.0,-0.06146269497777777,98.0,5.0,-13266774.729999999,0.959337094895742
2018-08-18,2018-09-17,2199417.200000001,225000000.0,0.009775187555555561,113.0,5.0,9529589.529999997,4.332779397196672,2018-09-18,2018-10-17,11618929.559999997,238636363.63636363,0.04868884767999999,107.0,5.0,8726507.969999997,0.751059546831438
2018-09-18,2018-10-17,11618929.559999997,238636363.63636363,0.04868884767999999,107.0,5.0,8726507.969999997,0.751059546831438,2018-10-18,2018-11-17,-157200.37000002898,300000000.0,-0.0005240012333334299,113.0,5.0,-9630852.060000021,61.26481801536628
2018-10-19,2018-11-18,519568.3799999645,300000000.0,0.0017318945999998817,113.0,5.0,6804234.019999994,13.095935553276854,2018-11-19,2018-12-18,-3588032.5600000024,300000000.0,-0.011960108533333342,105.0,5.0,-9099418.259999996,2.5360467353172487
2018-12-20,2019-01-19,1725860.8499999968,228571428.57142857,0.007550641218749986,100.0,5.0,6664091.569999991,3.8613145260233486,2019-01-20,2019-02-19,8847104.41,231818181.8181818,0.03816397980784314,94.0,5.0,8512031.659999998,0.9621262805917307
2019-01-20,2019-02-19,8847104.41,231818181.8181818,0.03816397980784314,94.0,5.0,8512031.659999998,0.9621262805917307,2019-02-20,2019-03-19,1522714.850000001,300000000.0,0.00507571616666667,94.0,5.0,7036009.38,4.620700573058702
2019-02-20,2019-03-19,1522714.850000001,300000000.0,0.00507571616666667,94.0,5.0,7036009.38,4.620700573058702,2019-03-20,2019-04-19,10753613.59999998,300000000.0,0.035845378666666594,100.0,5.0,8845449.94999999,0.8225560522278769
2019-03-20,2019-04-19,10753613.59999998,300000000.0,0.035845378666666594,100.0,5.0,8845449.94999999,0.8225560522278769,2019-04-20,2019-05-19,2852397.079999993,300000000.0,0.009507990266666643,102.0,5.0,7840321.279999999,2.7486780627331235
2019-04-20,2019-05-19,2852397.079999993,300000000.0,0.009507990266666643,102.0,5.0,7840321.279999999,2.7486780627331235,2019-05-20,2019-06-19,-4045427.469999996,300000000.0,-0.013484758233333321,110.0,5.0,-7870942.729999988,1.9456393146012814
2019-05-21,2019-06-20,1091361.0200000005,300000000.0,0.0036378700666666684,108.0,5.0,8110159.819999999,7.431234643143106,2019-06-21,2019-07-20,-5303742.910000005,300000000.0,-0.017679143033333348,100.0,5.0,-11852263.129999999,2.2346978975268597
2019-08-06,2019-09-05,6688230.879999999,300000000.0,0.02229410293333333,104.0,5.0,11836313.400000002,1.769722608619038,2019-09-06,2019-10-05,7670853.039999969,300000000.0,0.02556951013333323,104.0,5.0,9237295.859999968,1.2042071216632257
